Model Atmosphere,Path Type,Day,Time,Altitude,Target Descriptor,SVC Filename,Band Integrated Blue,Band Integrated Green,Band Integrated Red,Band Integrated RedEdge,Band Integrated Infrared
1,3,1,15,0.2137,White Cal Panel,R092_T106,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Black Cal Panel,R092_T107,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,White Cal Panel,R108_T110,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Black Cal Panel,R108_T111,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Dark Gray Tri,R108_T112,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Medium Gray Tri,R108_T113,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,White Tri,R108_T114,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Concrete,R108_T115,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Grass,R108_T116,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Asphalt,R108_T117,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Red Felt (Sun),R119_T121,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Blue Felt (Sun),R119_T122,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Green Felt (Sun),R119_T123,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Brown Felt (Sun),R119_T124,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,White Cal Panel,R126_T128,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Black Cal Panel,R126_T129,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,White Cal Panel,R137_T139,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Black Cal Panel,R137_T140,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Concrete,R137_T141,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Grass,R137_T142,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
1,3,1,15,0.2137,Asphalt,R137_T143,-2.18484605558e-18,-2.23550019218e-18,-1.68253887505e-18,-1.18437948591e-18,-8.45102852099e-19
