albedoFilename,backgroundLabel,dAzimuth,dZenith,dayNumber,endingWavelength,extraterrestrialSource,fileName,fwhm,groundAltitude,latitude,longitude,modelAtmosphere,pathType,sensorAltitude,sensorAzimuth,sensorZenith,startingWavelength,surfaceTemperature,targetAltitude,targetLabel,timeUTC,visibility,wavelengthIncrement
spec_alb.dat,concrete,10,5,172,1.2,0,tape5,0.001,0.168,43.041,77.698,2,2,0.1686,0.0,5.0,0.3,303.15,100.0,green felt,15.1,5.0,0.001
Target Camera Blue,Target Camera Green,Target Camera NIR,Target Camera Red,Target Camera Red Edge,Downwelling DLS Blue,Downwelling DLS Green,Downwelling DLS NIR,Downwelling DLS Red,Downwelling DLS Red Edge,SVC Camera Blue,SVC Camera Green,SVC Camera NIR,SVC Camera Red,SVC Camera Red Edge,radianceType,NDVI,Ratio Blue,Ratio Green,Ratio NIR,Ratio Red,Ratio Red Edge
0.0018569614496833668,0.0018835183358175266,0.0035046509930292194,0.0008522056151426371,0.0007649290916734136,0.08519014855722065,0.07595961385791672,0.030347840479310606,0.05768804965687725,0.04710552786679369,0.04847333784289135,0.05140052209063099,0.1658696781508593,0.026334851991434143,0.026549781738743,SVC,0.7731739665134335,0.021797842604254648,0.024796312674004214,0.11548271434399053,0.014772654305553244,0.01623862689399217
Camera Blue,Camera Green,Camera NIR,Camera Red,Camera Red Edge,DLS Blue,DLS Green,DLS NIR,DLS Red,DLS Red Edge,directReflect,estDownwell,groundReflect,sumSolScat,targetSVC,tgtSolScat,totalRadiance,wavelengths
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9489e-05,0.00043597099999999995,0.00047546,0.025569051711940686,0.0,4.3451e-06,0.0004798,0.325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1492e-05,0.000564348,0.00061584,0.03309619417384246,0.0,5.6003e-06,0.00062144,0.326
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4116e-05,0.000588154,0.00064227,0.0344851518541851,0.0,5.8124e-06,0.00064808,0.327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9611e-05,0.000530099,0.00057971,0.031044679370661656,0.0,5.2124e-06,0.00058492,0.328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8937e-05,0.000626253,0.00068519,0.03668136200850225,0.0,6.1327e-06,0.00069132,0.329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4152e-05,0.0006744479999999999,0.0007386,0.039485123134737815,0.0,6.5773e-06,0.00074517,0.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5118e-05,0.000570372,0.00062549,0.03335617729048264,0.0,5.5352e-06,0.00063103,0.331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8774e-05,0.000603796,0.00066257,0.03530746905186023,0.0,5.8362e-06,0.0006684,0.332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5976e-05,0.0006709239999999999,0.0007369,0.03921597410601299,0.0,6.458e-06,0.00074335,0.333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8227e-05,0.000583503,0.00064173,0.03408041993322712,0.0,5.5911e-06,0.00064732,0.334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6324e-05,0.0006594460000000001,0.00072577,0.03874699375586503,0.05177333333333332,6.3419e-06,0.00073212,0.335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3916e-05,0.000530564,0.00058448,0.03126716642909087,0.05156000000000003,5.1128e-06,0.00058959,0.336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.471e-05,0.00053141,0.00058612,0.030874888689980822,0.052360000000000025,5.0595e-06,0.00059117,0.337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6926e-05,0.000642384,0.00070931,0.03727000641534755,0.05231999999999999,6.0931e-06,0.00071541,0.338
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7468e-05,0.000640642,0.00070811,0.03729515072524923,0.05210666666666668,6.0707e-06,0.00071418,0.339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9583e-05,0.000745377,0.00082496,0.042975229108442495,0.052640000000000006,6.9799e-06,0.00083194,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8006e-05,0.000628354,0.00069636,0.036905931358504236,0.051586666666666614,5.9452e-06,0.0007023,0.341
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.115e-05,0.00064817,0.00071932,0.03886419909703005,0.05041333333333337,6.2016e-06,0.00072552,0.342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2777e-05,0.000654413,0.00072719,0.03853066230309414,0.051480000000000026,6.1281e-06,0.00073332,0.343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1171e-05,0.000542229,0.0006034,0.03286119963006379,0.049700000000000064,5.1672e-06,0.00060857,0.344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8469e-05,0.0005970309999999999,0.0006655,0.03798104728359775,0.04739333333333332,5.8673e-06,0.00067136,0.345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4102e-05,0.0006369479999999999,0.00071105,0.04028164308640835,0.047859999999999986,6.1399e-06,0.00071719,0.346
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8209e-05,0.000577261,0.00064547,0.03766323395427012,0.046320000000000056,5.6471e-06,0.00065112,0.347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2594e-05,0.000521536,0.00058413,0.03554038069355156,0.04426666666666668,5.242e-06,0.00058938,0.348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8101e-05,0.000560349,0.00062845,0.038757466848593485,0.043600000000000014,5.6555e-06,0.00063411,0.349
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9403e-05,0.000562397,0.0006318,0.040108743321832264,0.04232666666666669,5.767e-06,0.00063757,0.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7231e-05,0.000537679,0.00060491,0.03952679478184042,0.04092666666666669,5.6104e-06,0.00061052,0.351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9389e-05,0.000547381,0.00061677,0.04113920963254889,0.04006000000000002,5.7753e-06,0.00062255,0.352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4453e-05,0.000501667,0.00056612,0.03851388362965273,0.03924000000000002,5.3547e-06,0.00057148,0.353
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3488e-05,0.000565192,0.00063868,0.04407922710363209,0.038546666666666674,6.0806e-06,0.00064476,0.354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583e-05,0.0005763,0.00065213,0.0452555060081509,0.03828,6.1992e-06,0.00065833,0.355
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5558e-05,0.0005671820000000001,0.00064274,0.04478526221596965,0.038060000000000004,6.0943e-06,0.00064884,0.356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2343e-05,0.000388357,0.0004407,0.03085689595335989,0.037814285714285724,4.1727e-06,0.00044488,0.357
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7289e-05,0.00042038100000000005,0.00047767,0.0337332702230294,0.0373857142857143,4.531e-06,0.00048221,0.358
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5097e-05,0.000399093,0.00045419,0.032409076222765426,0.03698000000000001,4.3204e-06,0.00045851,0.359
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8128e-05,0.000560072,0.0006382,0.04592753509536648,0.036560000000000016,6.0904e-06,0.00064429,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119e-05,0.00043369999999999997,0.00049489,0.03600721031251944,0.03609333333333335,4.7488e-06,0.00049964,0.361
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7631e-05,0.00047421899999999995,0.00054185,0.0397474501816919,0.03573333333333334,5.2121e-06,0.00054707,0.362
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4311e-05,0.000515479,0.00058979,0.04358275602007944,0.03540000000000001,5.6843e-06,0.00059548,0.363
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4671e-05,0.000512209,0.00058688,0.04370265721893458,0.035066666666666683,5.676e-06,0.00059255,0.364
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9844e-05,0.000473826,0.00054367,0.04049909188510881,0.035,5.2379e-06,0.00054891,0.365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4712e-05,0.000636398,0.00073111,0.054403045989875075,0.034980000000000004,7.0138e-06,0.00073812,0.366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6411e-05,0.000574749,0.00066116,0.04920457446517162,0.03491333333333334,6.3299e-06,0.00066749,0.367
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2495e-05,0.000543275,0.00062577,0.04657848894653925,0.034846666666666665,5.9744e-06,0.00063175,0.368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0936e-05,0.000527564,0.0006085,0.045241960249049855,0.03482,5.7854e-06,0.00061429,0.369
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4282e-05,0.0006087379999999999,0.00070302,0.05208794915611681,0.03488666666666666,6.6461e-06,0.00070966,0.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6403e-05,0.000488257,0.00056466,0.041671020686614775,0.03495714285714285,5.3042e-06,0.00056997,0.371
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1368e-05,0.0005156620000000001,0.00059703,0.043866957241813886,0.03508,5.5738e-06,0.0006026,0.372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2803e-05,0.000519657,0.00060246,0.04393436866248653,0.03528,5.5712e-06,0.00060803,0.373
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5764e-05,0.000407996,0.00047376,0.03436851955316242,0.03536,4.3435e-06,0.0004781,0.374
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0364e-05,0.000371396,0.00043176,0.031228291589303875,0.03542666666666667,3.9372e-06,0.0004357,0.375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8065e-05,0.000537395,0.00062546,0.045082307651645906,0.03549333333333333,5.673e-06,0.00063113,0.376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1591e-05,0.000553289,0.00064488,0.0461555670397703,0.03568,5.7881e-06,0.00065067,0.377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012139,0.00072671,0.0008481,0.060257554513173224,0.035885714285714285,7.5374e-06,0.00085564,0.378
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4638e-05,0.000561782,0.00065642,0.04626701949557004,0.0361,5.7798e-06,0.0006622,0.379
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9455e-05,0.000525905,0.00061536,0.04274193748161938,0.036566666666666664,5.3288e-06,0.00062069,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010483,0.00061138,0.00071621,0.049091284495271184,0.03703333333333333,6.1166e-06,0.00072233,0.381
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9723e-05,0.000460997,0.00054072,0.036548928453765436,0.0375,4.5551e-06,0.00054527,0.382
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635e-05,0.000323,0.00037935,0.025359156847325152,0.03783333333333333,3.1556e-06,0.00038251,0.383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3363e-05,0.00035999700000000003,0.00042336,0.02794711926677611,0.03823333333333333,3.4719e-06,0.00042683,0.384
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.746e-05,0.0005492400000000001,0.0006467,0.04217055062142017,0.0387,5.2308e-06,0.00065193,0.385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7193e-05,0.00043122699999999996,0.00050842,0.03288299243207562,0.038914285714285714,4.0664e-06,0.00051248,0.386
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.856e-05,0.00049086,0.00057942,0.03713473840432069,0.03924,4.5832e-06,0.000584,0.387
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0425e-05,0.000496975,0.0005874,0.037219014492505156,0.039626666666666664,4.5869e-06,0.00059199,0.388
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010327,0.00056249,0.00066576,0.04179205651541543,0.03989333333333333,5.1399e-06,0.00067089,0.389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012989,0.00070212,0.00083201,0.0516262621163683,0.040319999999999995,6.3426e-06,0.00083835,0.39
679000.0,632000.0,555000.0,374000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014677,0.00078674,0.00093351,0.05712931256767375,0.04082142857142857,7.0134e-06,0.00094053,0.391
1358000.0,1264000.0,1110000.0,748000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013188,0.00070168,0.00083356,0.050658984314271994,0.041035714285714286,6.2105e-06,0.00083977,0.392
2037000.0,1896000.0,1665000.0,1122000.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1914e-05,0.000380006,0.00045192,0.027218293239450846,0.04142666666666668,3.334e-06,0.00045526,0.393
2716000.0,2528000.0,2220000.0,1496000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0365e-05,0.00042039500000000006,0.00050076,0.029763959210977242,0.04181333333333333,3.6407e-06,0.0005044,0.394
3395000.0,3160000.0,2775000.0,1870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013844,0.00071894,0.00085738,0.05080497548290726,0.041879999999999994,6.199e-06,0.00086358,0.395
4074000.0,3792000.0,3330000.0,2244000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014176,0.00073078,0.00087254,0.051399120812274386,0.042086666666666675,6.2586e-06,0.0008788,0.396
4753000.0,4424000.0,3885000.0000000005,2618000.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,5.8956e-05,0.000301384,0.00036034,0.021095301184827303,0.042285714285714274,2.563e-06,0.0003629,0.397
5432000.0,5056000.0,4440000.0,2992000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016318,0.00082762,0.0009908,0.05797658379799279,0.042214285714285704,7.0276e-06,0.00099783,0.398
6111000.0,5688000.0,4995000.0,3366000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019874,0.00100026,0.001199,0.07008075011333369,0.0422,8.4782e-06,0.0012075,0.399
6790000.0,6320000.0,5550000.0,3740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019856,0.00098614,0.0011847,0.06911470525041873,0.042179999999999995,8.3427e-06,0.0011931,0.4
6111000.0,5813000.0,5059900.0,3445100.0,449000.0,0.0,0.0,0.0,0.0,0.0,0.0001962,0.0009725,0.0011687,0.06822320003277069,0.042113333333333336,8.2163e-06,0.0011769,0.401
5432000.0,5306000.0,4569800.0,3150200.0,898000.0,0.0,0.0,0.0,0.0,0.0,0.00020774,0.00102166,0.0012294,0.07150865784683633,0.04221428571428571,8.5984e-06,0.001238,0.402
4753000.0,4799000.0,4079700.0000000005,2855300.0000000005,1347000.0,0.0,0.0,0.0,0.0,0.0,0.00019796,0.0009668399999999998,0.0011648,0.06767571624523572,0.04219333333333333,8.1263e-06,0.0011729,0.403
